# timestamps [seconds],pts
243955.032628,1258186
243955.064632,1260283
243955.100634,1262643
243955.132651,1264741
243955.168924,1267118
243955.200939,1269216
243955.232617,1271292
243955.269508,1273710
243955.300618,1275749
243955.332805,1277858
243955.368706,1280211
243955.400706,1282308
243955.436709,1284667
243955.468599,1286757
243955.500592,1288854
243955.536601,1291214
243955.568653,1293314
243955.600661,1295412
243955.636651,1297771
243955.668695,1299871
243955.704642,1302226
243955.736583,1304320
243955.768611,1306419
243955.804618,1308778
243955.837359,1310924
243955.869821,1313051
243955.904643,1315333
243955.936666,1317432
243955.972586,1319786
243956.004663,1321888
243956.036677,1323986
243956.072737,1326350
243956.104699,1328444
243956.136670,1330539
243956.172661,1332898
243956.204618,1334992
243956.240899,1337370
243956.272713,1339455
243956.304662,1341549
243956.340818,1343918
243956.372917,1346022
243956.408662,1348364
243956.440711,1350465
243956.472779,1352566
243956.508996,1354940
243956.540831,1357026
243956.572639,1359111
243956.608838,1361483
243956.640676,1363569
243956.676662,1365928
243956.708639,1368023
243956.740795,1370131
243956.776645,1372480
243956.808699,1374581
243956.840673,1376676
243956.876755,1379041
243956.908633,1381130
243956.944680,1383492
243956.976655,1385588
243957.008665,1387686
243957.044708,1390048
243957.077016,1392165
243957.108779,1394247
243957.145405,1396647
243957.176707,1398698
243957.212697,1401057
243957.244678,1403153
243957.276721,1405253
243957.312668,1407608
243957.344783,1409713
243957.376662,1411802
243957.412767,1414168
243957.444748,1416264
243957.480647,1418617
243957.512617,1420712
243957.544713,1422815
243957.581469,1425224
243957.613274,1427309
243957.644814,1429376
243957.680749,1431731
243957.712784,1433830
243957.748684,1436183
243957.781466,1438331
243957.812724,1440380
243957.848796,1442744
243957.880772,1444839
243957.916959,1447211
243957.948744,1449294
243957.980672,1451386
243958.017426,1453795
243958.049515,1455898
243958.080803,1457948
243958.116718,1460302
243958.148716,1462399
243958.184850,1464767
243958.217303,1466894
243958.248883,1468963
243958.284820,1471318
243958.316780,1473413
243958.348760,1475509
243958.384696,1477864
243958.416752,1479965
243958.452986,1482339
243958.485047,1484440
243958.517249,1486551
243958.552806,1488881
243958.585014,1490992
243958.616726,1493070
243958.653767,1495497
243958.684854,1497535
243958.720731,1499886
243958.752870,1501992
243958.784773,1504083
243958.820767,1506442
243958.853054,1508558
243958.884734,1510634
243958.920870,1513002
243958.952827,1515096
243958.988781,1517452
243959.020720,1519546
243959.052786,1521647
243959.088770,1524005
243959.120824,1526106
243959.153739,1528263
243959.188730,1530556
243959.220748,1532654
243959.256751,1535014
243959.289042,1537130
243959.320728,1539207
243959.357057,1541587
243959.388985,1543680
243959.420958,1545775
243959.456777,1548123
243959.489569,1550272
243959.525089,1552599
243959.556850,1554681
243959.588835,1556777
243959.624863,1559138
243959.656917,1561239
243959.692763,1563588
243959.725048,1565704
243959.756675,1567776
243959.792827,1570146
243959.824780,1572240
243959.857435,1574380
243959.892730,1576693
243959.924775,1578793
243959.960848,1581157
243959.993344,1583286
243960.025077,1585366
243960.060825,1587709
243960.092783,1589803
243960.124869,1591906
243960.160818,1594262
243960.192804,1596358
243960.229136,1598739
243960.261395,1600853
243960.292845,1602914
243960.328802,1605271
243960.360796,1607367
243960.392746,1609461
243960.429183,1611849
243960.460938,1613930
243960.496759,1616278
243960.528822,1618379
243960.560800,1620475
243960.596925,1622842
243960.628909,1624938
243960.660812,1627029
243960.697414,1629428
243960.728820,1631486
243960.764773,1633842
243960.796802,1635941
243960.828806,1638039
243960.864803,1640398
243960.896887,1642500
243960.929375,1644629
243960.964926,1646959
243960.996840,1649051
243961.032841,1651410
243961.064907,1653511
243961.096777,1655600
243961.132893,1657967
243961.164951,1660068
243961.200763,1662415
243961.232779,1664513
243961.264802,1666611
243961.300873,1668975
243961.332940,1671077
243961.365603,1673217
243961.401245,1675553
243961.432784,1677620
243961.468972,1679992
243961.501716,1682138
243961.533313,1684208
243961.568873,1686539
243961.601065,1688648
243961.632866,1690733
243961.668766,1693085
243961.700861,1695189
243961.737202,1697570
243961.768907,1699648
243961.801101,1701758
243961.836903,1704104
243961.868859,1706198
243961.900823,1708293
243961.937254,1710681
243961.969325,1712782
243962.004795,1715107
243962.036881,1717210
243962.069068,1719319
243962.104861,1721665
243962.136897,1723764
243962.168915,1725863
243962.205032,1728229
243962.236968,1730322
243962.272880,1732676
243962.304896,1734774
243962.337105,1736885
243962.373259,1739254
243962.404934,1741330
243962.436946,1743428
243962.472892,1745784
243962.504952,1747885
243962.540998,1750247
243962.572894,1752337
243962.604807,1754429
243962.641490,1756833
243962.673104,1758905
243962.705274,1761013
243962.740878,1763346
243962.772912,1765445
243962.808984,1767809
243962.840951,1769904
243962.873237,1772020
243962.908946,1774360
243962.940898,1776454
243962.976930,1778816
243963.008874,1780909
243963.040957,1783012
243963.077529,1785409
243963.109049,1787474
243963.141640,1789610
243963.176827,1791916
243963.208882,1794017
243963.245236,1796399
243963.276941,1798477
243963.308946,1800574
243963.344959,1802935
243963.376984,1805033
243963.409099,1807138
243963.444988,1809490
243963.476966,1811586
243963.513031,1813949
243963.544951,1816041
243963.577069,1818146
243963.613223,1820515
243963.644947,1822594
243963.676994,1824695
243963.713429,1827082
243963.745474,1829182
243963.780976,1831509
243963.813184,1833620
243963.844922,1835700
243963.880992,1838064
243963.913125,1840169
243963.945088,1842264
243963.980981,1844616
243964.013114,1846722
243964.049002,1849074
243964.080994,1851171
243964.113014,1853269
243964.149079,1855633
243964.181703,1857771
243964.213386,1859847
243964.249027,1862183
243964.281034,1864280
243964.317312,1866658
243964.349602,1868774
243964.380997,1870831
243964.417037,1873193
243964.449105,1875295
243964.485015,1877648
243964.516974,1879743
243964.549698,1881887
243964.585302,1884220
243964.617065,1886302
243964.649075,1888400
243964.685040,1890757
243964.716969,1892849
243964.753517,1895244
243964.785051,1897311
243964.816954,1899402
243964.852984,1901763
243964.885023,1903863
243964.917027,1905960
243964.952921,1908312
243964.984982,1910413
243965.020991,1912773
243965.052991,1914870
243965.085017,1916969
243965.120913,1919322
243965.153006,1921425
243965.185116,1923529
243965.221031,1925883
243965.253073,1927983
243965.289124,1930345
243965.321108,1932442
243965.352965,1934529
243965.388954,1936888
243965.421093,1938994
243965.452967,1941083
243965.489280,1943463
243965.521110,1945549
243965.556978,1947899
243965.589002,1949998
243965.620974,1952093
243965.657074,1954459
243965.689096,1956558
243965.721152,1958658
243965.757014,1961009
243965.789043,1963108
243965.825013,1965465
243965.856974,1967559
243965.889039,1969661
243965.925846,1972073
243965.957420,1974142
243965.993129,1976482
243966.025040,1978574
243966.057001,1980668
243966.093122,1983035
243966.125077,1985130
243966.157045,1987225
243966.192975,1989579
243966.225146,1991688
243966.261032,1994039
243966.293220,1996149
243966.325033,1998234
243966.361407,2000618
243966.393006,2002688
243966.425069,2004790
243966.460941,2007140
243966.492965,2009239
243966.529287,2011620
243966.561355,2013721
243966.593802,2015848
243966.629017,2018155
243966.661058,2020255
243966.692996,2022348
243966.729057,2024711
243966.761257,2026822
243966.797407,2029191
243966.829029,2031263
243966.861417,2033386
243966.897113,2035725
243966.929167,2037826
243966.960959,2039909
243966.997594,2042310
243967.029072,2044373
243967.064969,2046725
243967.097032,2048827
243967.128993,2050921
243967.165045,2053284
243967.197083,2055384
243967.229046,2057478
243967.265330,2059856
243967.297193,2061944
243967.333176,2064302
243967.375392,2067069
243967.397066,2068489
243967.433973,2070908
243967.465405,2072968
243967.498200,2075117
243967.533048,2077401
243967.565124,2079503
243967.601511,2081888
243967.633152,2083961
243967.665047,2086052
243967.701834,2088462
243967.733299,2090524
243967.769071,2092869
243967.801053,2094965
243967.833106,2097065
243967.869120,2099425
243967.901337,2101537
243967.933146,2103621
243967.969054,2105975
243968.001079,2108073
243968.038197,2110506
243968.069335,2112547
243968.101121,2114630
243968.137168,2116992
243968.169485,2119110
243968.201303,2121195
243968.237155,2123545
243968.269008,2125632
243968.305355,2128014
243968.337442,2130117
243968.369149,2132195
243968.405069,2134549
243968.437078,2136647
243968.469140,2138748
243968.505164,2141109
243968.537154,2143205
243968.573292,2145573
243968.605090,2147657
243968.637174,2149760
243968.673140,2152117
243968.705149,2154215
243968.737173,2156313
243968.773663,2158705
243968.805300,2160778
243968.841134,2163126
243968.873339,2165237
243968.905203,2167325
243968.941200,2169684
243968.973220,2171783
243969.005468,2173896
243969.041121,2176233
243969.073346,2178344
243969.109108,2180688
243969.141175,2182790
243969.173207,2184889
243969.209619,2187275
243969.241154,2189342
243969.277139,2191700
243969.309209,2193802
243969.341205,2195899
243969.378145,2198319
243969.409642,2200384
243969.441365,2202463
243969.477584,2204836
243969.509149,2206905
243969.545146,2209264
243969.577244,2211367
243969.609226,2213463
243969.645231,2215823
243969.677291,2217924
243969.709208,2220016
243969.745248,2222378
243969.777205,2224472
243969.813632,2226859
243969.845205,2228928
243969.877512,2231045
243969.913185,2233383
243969.945261,2235485
243969.977367,2237589
243970.013328,2239946
243970.045325,2242043
243970.081316,2244402
243970.113532,2246513
243970.145801,2248628
243970.181176,2250946
243970.213256,2253048
243970.245272,2255147
243970.281265,2257505
243970.313557,2259622
243970.349179,2261956
243970.381225,2264056
243970.413099,2266145
243970.449211,2268512
243970.481206,2270609
243970.513278,2272710
243970.549451,2275081
243970.581929,2277209
243970.617185,2279520
243970.649136,2281614
243970.681348,2283725
243970.717259,2286078
243970.749243,2288174
243970.785234,2290533
243970.817272,2292633
243970.849210,2294726
243970.885349,2297094
243970.917163,2299179
243970.949205,2301279
243970.985644,2303667
243971.017657,2305765
243971.053220,2308095
243971.085448,2310208
243971.117134,2312284
243971.153474,2314666
243971.186013,2316798
243971.217243,2318845
243971.253223,2321203
243971.285482,2323317
243971.321270,2325662
243971.353213,2327756
243971.385239,2329854
243971.421212,2332212
243971.453255,2334312
243971.485271,2336410
243971.521273,2338769
243971.553164,2340859
243971.589360,2343231
243971.621500,2345338
243971.654097,2347474
243971.689378,2349786
243971.721231,2351874
243971.753117,2353963
243971.789312,2356335
243971.821186,2358424
243971.857246,2360787
243971.889381,2362893
243971.921274,2364983
243971.957247,2367341
243971.989697,2369467
243972.021484,2371551
243972.057221,2373893
243972.089231,2375990
243972.125203,2378348
243972.157226,2380447
243972.189225,2382544
243972.225275,2384906
243972.257300,2387005
243972.289170,2389093
243972.325348,2391464
243972.357466,2393569
243972.393215,2395912
243972.425605,2398035
243972.457171,2400103
243972.493244,2402467
243972.525265,2404566
243972.561214,2406922
243972.593280,2409023
243972.625278,2411120
243972.661300,2413481
243972.693364,2415582
243972.725264,2417673
243972.761239,2420030
243972.793204,2422125
243972.829225,2424486
243972.861294,2426588
243972.893773,2428716
243972.929234,2431040
243972.961488,2433154
243972.993231,2435234
243973.029307,2437598
243973.061172,2439687
243973.097285,2442053
243973.129281,2444150
243973.161233,2446244
243973.197235,2448603
243973.229273,2450703
243973.261218,2452797
243973.297311,2455162
243973.329274,2457257
243973.365357,2459621
243973.397511,2461729
